title,link,snip,sjr,impact factor,5 year impact factor
Enfermedad Inflamatoria Intestinal al Día,http://www.journals.elsevier.com/enfermedad-inflamatoria-intestinal-al-dia/,0.0,0.0,0.0,0.0
Enfermería Clínica,http://www.journals.elsevier.com/enfermeria-clinica/,0.0,0.0,0.0,0.0
Enfermería Intensiva,http://www.journals.elsevier.com/enfermeria-intensiva/,0.0,0.0,0.0,0.0
Enfermería Universitaria,http://www.journals.elsevier.com/enfermeria-universitaria/,0.0,0.0,0.0,0.0
Engineering Analysis with Boundary Elements,http://www.journals.elsevier.com/engineering-analysis-with-boundary-elements/,1.600,1.074,1.392,1.450
Engineering Applications of Artificial Intelligence,http://www.journals.elsevier.com/engineering-applications-of-artificial-intelligence/,2.528,1.525,2.207,2.503
Engineering Failure Analysis,http://www.journals.elsevier.com/engineering-failure-analysis/,2.040,0.892,1.028,1.119
Engineering Fracture Mechanics,http://www.journals.elsevier.com/engineering-fracture-mechanics/,2.228,1.630,1.767,2.012
Engineering Geology,http://www.journals.elsevier.com/engineering-geology/,2.112,1.288,1.744,2.259
"Engineering in Agriculture, Environment and Food",http://www.journals.elsevier.com/engineering-in-agriculture-environment-and-food/,0.0,0.0,0.0,0.0
"Engineering Science and Technology, an International Journal",http://www.journals.elsevier.com/engineering-science-and-technology-an-international-journal/,0.0,0.0,0.0,0.0
Engineering Structures,http://www.journals.elsevier.com/engineering-structures/,2.396,1.815,1.838,2.152
English for Specific Purposes,http://www.journals.elsevier.com/english-for-specific-purposes/,2.115,1.533,1.659,1.960
English for Specific Purposes with Journal of English for Academic Purposes (Combined Subscription),/journals/english-for-specific-purposes-with-journal-of-english-for-academic-purposes-combined-subscription/fs00-0681,0.0,0.0,0.0,0.0
Ensayos sobre Política Económica,http://www.journals.elsevier.com/ensayos-sobre-politica-economica/,0.0,0.0,0.0,0.0
Entertainment Computing,http://www.journals.elsevier.com/entertainment-computing/,0.0,0.0,0.0,0.0
Environmental and Experimental Botany,http://www.journals.elsevier.com/environmental-and-experimental-botany/,1.800,1.038,3.359,3.746
Environmental Development,http://www.journals.elsevier.com/environmental-development/,0.0,0.0,0.0,0.0
Environmental Health and Pollution Control (Section 46 EMBASE),/journals/environmental-health-and-pollution-control-section-46-embase/0300-5194,0.0,0.0,0.0,0.0
Environmental Impact Assessment Review,http://www.journals.elsevier.com/environmental-impact-assessment-review/,1.495,1.265,2.400,2.540
Environmental Innovation and Societal Transitions,http://www.journals.elsevier.com/environmental-innovation-and-societal-transitions/,0.0,0.0,0.0,0.0
Environmental Modelling & Software,http://www.journals.elsevier.com/environmental-modelling-and-software/,2.374,1.859,4.420,4.359
"Environmental Nanotechnology, Monitoring and Management",http://www.journals.elsevier.com/environmental-nanotechnology-monitoring-and-management/,0.0,0.0,0.0,0.0
Environmental Pollution,http://www.journals.elsevier.com/environmental-pollution/,1.892,1.749,4.143,4.755
Environmental Research,http://www.journals.elsevier.com/environmental-research/,1.627,1.574,4.373,4.234
Environmental Research with Ecotoxicology and Environmental Safety (Combined Subscription),/journals/environmental-research-with-ecotoxicology-and-environmental-safety-combined-subscription/fs00-2302,0.0,0.0,0.0,0.0
Environmental Science & Policy,http://www.journals.elsevier.com/environmental-science-and-policy/,1.701,1.607,3.018,3.923
Environmental Science Package - Option 1,/journals/environmental-science-package-option-1/fs00-0137,0.0,0.0,0.0,0.0
Environmental Science Package - Option 2,/journals/environmental-science-package-option-2/fs00-0173,0.0,0.0,0.0,0.0
Environmental Technology & Innovation,http://www.journals.elsevier.com/environmental-technology-and-innovation/,0.0,0.0,0.0,0.0
Environmental Toxicology and Pharmacology,http://www.journals.elsevier.com/environmental-toxicology-and-pharmacology/,0.904,0.628,2.084,2.205
Environment International,http://www.journals.elsevier.com/environment-international/,2.174,2.380,5.559,6.657
Enzyme and Microbial Technology,http://www.journals.elsevier.com/enzyme-and-microbial-technology/,1.152,0.973,2.322,2.932
Epidemics,http://www.journals.elsevier.com/epidemics/,0.965,1.245,1.870,2.750
Epilepsy Abstracts (Section 50 EMBASE),/journals/epilepsy-abstracts-section-50-embase/0031-0743,0.0,0.0,0.0,0.0
Epilepsy & Behavior,http://www.journals.elsevier.com/epilepsy-and-behavior/,0.938,0.947,2.257,2.225
Epilepsy & Behavior Case Reports,http://www.journals.elsevier.com/epilepsy-and-behavior-case-reports/,0.0,0.0,0.0,0.0
Epilepsy Research,http://www.journals.elsevier.com/epilepsy-research/,0.932,0.852,2.015,2.316
Epileptology,http://www.journals.elsevier.com/epileptology/,0.0,0.0,0.0,0.0
e-SPEN Journal,http://www.journals.elsevier.com/e-spen-journal/,0.0,0.0,0.0,0.0
"e-SPEN, the European e-Journal of Clinical Nutrition and Metabolism",/journals/e-spen-the-european-e-journal-of-clinical-nutrition-and-metabolism/1751-4991,0.0,0.0,0.0,0.0
"Estuarine, Coastal and Shelf Science",http://www.journals.elsevier.com/estuarine-coastal-and-shelf-science/,1.144,0.927,2.057,2.603
Estudios de Cultura Maya,http://www.journals.elsevier.com/estudios-de-cultura-maya/,0.0,0.0,0.0,0.0
Estudios de Historia Moderna y Contemporánea de México,http://www.journals.elsevier.com/estudios-de-historia-moderna-y-contemporanea-de-mexico/,0.0,0.0,0.0,0.0
Estudios de Historia Novohispana,http://www.journals.elsevier.com/estudios-de-historia-novohispana/,0.0,0.0,0.0,0.0
Estudios Gerenciales,http://www.journals.elsevier.com/estudios-gerenciales/,0.0,0.0,0.0,0.0
Estudios Políticos,http://www.journals.elsevier.com/estudios-politicos/,0.0,0.0,0.0,0.0
"Ethics, Medicine and Public Health",http://www.journals.elsevier.com/ethics-medicine-and-public-health/,0.0,0.0,0.0,0.0
Éthique et Santé,http://www.journals.elsevier.com/ethique-et-sante/,0.0,0.0,0.0,0.0
EuPA Open Proteomics,http://www.journals.elsevier.com/eupa-open-proteomics/,0.0,0.0,0.0,0.0
"European Annals of Otorhinolaryngology, Head and Neck Diseases",http://www.journals.elsevier.com/european-annals-of-otorhinolaryngology-head-and-neck-diseases/,0.0,0.0,0.0,0.0
European Economic Review,http://www.journals.elsevier.com/european-economic-review/,1.474,1.838,1.144,1.762
European Geriatric Medicine,http://www.journals.elsevier.com/european-geriatric-medicine/,0.231,0.214,0.733,0.703
European Journal of Agronomy,http://www.journals.elsevier.com/european-journal-of-agronomy/,1.769,1.245,2.704,3.469
European Journal of Cancer,http://www.journals.elsevier.com/european-journal-of-cancer/,1.703,2.183,5.417,5.624
European Journal of Cancer with Oral Oncology (Combined Subscription),/journals/european-journal-of-cancer-with-oral-oncology-combined-subscription/fs00-0298,0.0,0.0,0.0,0.0
European Journal of Cardio-Thoracic Surgery Supplement,/journals/european-journal-of-cardio-thoracic-surgery-supplement/1567-4258,0.0,0.0,0.0,0.0
European Journal of Cardiovascular Nursing,/journals/european-journal-of-cardiovascular-nursing/1474-5151,0.0,0.0,0.0,0.0
European Journal of Cell Biology,http://www.journals.elsevier.com/european-journal-of-cell-biology/,0.715,2.068,3.825,3.650
European Journal of Combinatorics,http://www.journals.elsevier.com/european-journal-of-combinatorics/,1.180,1.181,0.653,0.703
European Journal of Control,http://www.journals.elsevier.com/european-journal-of-control/,1.075,0.605,0.826,1.015
European Journal of Education and Psychology,http://www.journals.elsevier.com/european-journal-of-education-and-psychology/,0.0,0.0,0.0,0.0
European Journal of Integrative Medicine,http://www.journals.elsevier.com/european-journal-of-integrative-medicine/,0.566,0.258,0.777,0.840
European Journal of Internal Medicine,http://www.journals.elsevier.com/european-journal-of-internal-medicine/,1.245,0.913,2.891,2.425
European Journal of Mechanics - A/B (Combined Subscription),/journals/european-journal-of-mechanics-a-b-combined-subscription/fs00-9097,0.0,0.0,0.0,0.0
European Journal of Mechanics - A/Solids,http://www.journals.elsevier.com/european-journal-of-mechanics-a-solids/,1.577,1.343,1.678,1.996
European Journal of Mechanics - B/Fluids,http://www.journals.elsevier.com/european-journal-of-mechanics-b-fluids/,1.563,0.699,1.656,1.717
European Journal of Medical Genetics,http://www.journals.elsevier.com/european-journal-of-medical-genetics/,0.766,0.727,1.466,1.592
European Journal of Medicinal Chemistry,http://www.journals.elsevier.com/european-journal-of-medicinal-chemistry/,1.611,1.004,3.447,3.946
European Journal of Obstetrics & Gynecology and Reproductive Biology,http://www.journals.elsevier.com/european-journal-of-obstetrics-and-gynecology-and-reproductive-biology/,1.013,0.738,1.695,1.974
European Journal of Oncology Nursing,http://www.journals.elsevier.com/european-journal-of-oncology-nursing/,0.997,0.662,1.426,1.814
European Journal of Operational Research,http://www.journals.elsevier.com/european-journal-of-operational-research/,2.335,2.368,2.358,2.911
European Journal of Paediatric Neurology,http://www.journals.elsevier.com/european-journal-of-paediatric-neurology/,1.194,0.859,2.301,2.122
European Journal of Pain,/journals/european-journal-of-pain/1090-3801,0.0,0.0,0.0,0.0
European Journal of Pain Supplements,/journals/european-journal-of-pain-supplements/1754-3207,0.0,0.0,0.0,0.0
European Journal of Pharmaceutical Sciences,http://www.journals.elsevier.com/european-journal-of-pharmaceutical-sciences/,1.172,0.892,3.350,3.463
European Journal of Pharmaceutics and Biopharmaceutics,http://www.journals.elsevier.com/european-journal-of-pharmaceutics-and-biopharmaceutics/,1.533,1.309,3.383,4.394
European Journal of Pharmacology,http://www.journals.elsevier.com/european-journal-of-pharmacology/,0.976,0.871,2.532,2.672
European Journal of Political Economy,http://www.journals.elsevier.com/european-journal-of-political-economy/,1.776,1.477,1.468,1.783
European Journal of Protistology,http://www.journals.elsevier.com/european-journal-of-protistology/,1.035,1.204,2.800,2.169
European Journal of Radiography,/journals/european-journal-of-radiography/1756-1175,0.0,0.0,0.0,0.0
European Journal of Radiology,http://www.journals.elsevier.com/european-journal-of-radiology/,1.197,1.019,2.369,2.411
European Journal of Radiology Extra,/journals/european-journal-of-radiology-extra/1571-4675,0.0,0.0,0.0,0.0
European Journal of Radiology Open,http://www.journals.elsevier.com/european-journal-of-radiology-open/,0.0,0.0,0.0,0.0
European Journal of Soil Biology,http://www.journals.elsevier.com/european-journal-of-soil-biology/,1.322,0.787,1.719,2.272
European Journal of Vascular and Endovascular Surgery,http://www.journals.elsevier.com/european-journal-of-vascular-and-endovascular-surgery/,1.705,1.453,2.490,2.976
European Management Journal,http://www.journals.elsevier.com/european-management-journal/,1.114,0.628,1.222,1.600
European Neuropsychopharmacology,http://www.journals.elsevier.com/european-neuropsychopharmacology/,1.439,1.858,4.369,4.754
European Polymer Journal,http://www.journals.elsevier.com/european-polymer-journal/,1.436,1.023,3.005,3.198
European Psychiatry,http://www.journals.elsevier.com/european-psychiatry/,1.000,1.341,3.439,3.310
European Research in Telemedicine / La Recherche Européenne en Télémédecine,http://www.journals.elsevier.com/european-research-in-telemedicine-la-recherche-europeenne-en-telemedecine/,0.0,0.0,0.0,0.0
European Urology,http://www.journals.elsevier.com/european-urology/,4.393,6.042,13.938,11.260
European Urology Focus,http://www.journals.elsevier.com/european-urology-focus/,0.0,0.0,0.0,0.0
European Urology Supplements,http://www.journals.elsevier.com/european-urology-supplements/,0.0,0.0,0.0,0.0
Evaluation and Program Planning,http://www.journals.elsevier.com/evaluation-and-program-planning/,1.269,0.465,0.969,1.394
Evidence-based Cardiovascular Medicine,/journals/evidence-based-cardiovascular-medicine/1361-2611,0.0,0.0,0.0,0.0
Evidence-based Healthcare and Public Health,/journals/evidence-based-healthcare-and-public-health/1744-2249,0.0,0.0,0.0,0.0
Evidence-based Obstetrics & Gynecology,/journals/evidence-based-obstetrics-and-gynecology/1361-259x,0.0,0.0,0.0,0.0
Evolution and Human Behavior,http://www.journals.elsevier.com/evolution-and-human-behavior/,1.357,1.767,3.130,3.870
Excerpta Medica Full Set Series,/journals/excerpta-medica-full-set-series/fs00-8549,0.0,0.0,0.0,0.0
Experimental and Molecular Pathology,http://www.journals.elsevier.com/experimental-and-molecular-pathology/,0.711,0.868,2.706,2.650
Experimental and Toxicologic Pathology,http://www.journals.elsevier.com/experimental-and-toxicologic-pathology/,1.122,0.685,1.860,2.108
Experimental Cell Research,http://www.journals.elsevier.com/experimental-cell-research/,0.861,1.546,3.246,3.377
Experimental Eye Research,http://www.journals.elsevier.com/experimental-eye-research/,0.945,1.084,2.709,3.023
Experimental Gerontology,http://www.journals.elsevier.com/experimental-gerontology/,1.069,1.320,3.485,3.802
Experimental Hematology,http://www.journals.elsevier.com/experimental-hematology/,0.684,1.161,2.475,2.746
Experimental Neurology,http://www.journals.elsevier.com/experimental-neurology/,1.096,1.951,4.696,4.542
Experimental Parasitology,http://www.journals.elsevier.com/experimental-parasitology/,0.777,0.676,1.638,1.840
Experimental Thermal and Fluid Science,http://www.journals.elsevier.com/experimental-thermal-and-fluid-science/,1.923,1.490,1.990,2.180
Expert Systems with Applications,http://www.journals.elsevier.com/expert-systems-with-applications/,2.534,1.996,2.240,2.571
Explorations in Economic History,http://www.journals.elsevier.com/explorations-in-economic-history/,1.468,1.194,0.866,1.090
Explore: The Journal of Science & Healing,http://www.journals.elsevier.com/explore-the-journal-of-science-and-healing/,0.571,0.297,1.000,1.349
Expositiones Mathematicae,http://www.journals.elsevier.com/expositiones-mathematicae/,1.049,0.514,0.447,0.683
Extreme Mechanics Letters,http://www.journals.elsevier.com/extreme-mechanics-letters/,0.0,0.0,0.0,0.0
Facial Plastic Surgery Clinics of North America,/journals/facial-plastic-surgery-clinics-of-north-america/1064-7406,0.0,0.0,0.0,0.0
Farmacéuticos de Atención Primaria,/journals/farmaceuticos-de-atencion-primaria/2172-3761,0.0,0.0,0.0,0.0
Farmacia Hospitalaria,/journals/farmacia-hospitalaria/1130-6343,0.0,0.0,0.0,0.0
Farmacia Hospitalaria (English Edition),/journals/farmacia-hospitalaria-english-edition/2173-5085,0.0,0.0,0.0,0.0
FEBS Letters,http://www.journals.elsevier.com/febs-letters/,0.808,1.569,3.169,3.372
FEBS Open Bio,http://www.journals.elsevier.com/febs-open-bio/,0.516,0.708,1.515,1.537
Fertility and Sterility®,http://www.journals.elsevier.com/fertility-and-sterility/,1.506,1.632,4.590,4.255
Feuillets de Radiologie,http://www.journals.elsevier.com/feuillets-de-radiologie/,0.0,0.0,0.0,0.0
Field Crops Research,http://www.journals.elsevier.com/field-crops-research/,1.782,1.451,2.976,3.354
Field Mycology,http://www.journals.elsevier.com/field-mycology/,0.0,0.0,0.0,0.0
Filtration Industry Analyst,http://www.journals.elsevier.com/filtration-industry-analyst/,0.0,0.0,0.0,0.0
Filtration+Separation,http://www.journals.elsevier.com/filtrationseparation/,0.049,0.144,0.105,0.172
Finance Research Letters,http://www.journals.elsevier.com/finance-research-letters/,0.848,0.415,0.646,0.659
Finite Elements in Analysis and Design,http://www.journals.elsevier.com/finite-elements-in-analysis-and-design/,1.834,1.299,2.017,1.967
Finite Fields and Their Applications,http://www.journals.elsevier.com/finite-fields-and-their-applications/,1.485,1.396,0.927,0.956
Fire Safety Journal,http://www.journals.elsevier.com/fire-safety-journal/,1.915,0.862,0.957,1.681
Fish and Shellfish Immunology,http://www.journals.elsevier.com/fish-and-shellfish-immunology/,1.031,0.969,2.674,2.996
Fisheries Research,http://www.journals.elsevier.com/fisheries-research/,1.245,0.965,1.903,2.034
Fisioterapia,http://www.journals.elsevier.com/fisioterapia/,0.0,0.0,0.0,0.0
Fitoterapia,http://www.journals.elsevier.com/fitoterapia/,1.493,0.816,2.345,2.466
Flora,http://www.journals.elsevier.com/flora/,1.067,0.619,1.472,1.663
Flow Measurement and Instrumentation,http://www.journals.elsevier.com/flow-measurement-and-instrumentation/,1.594,0.491,1.040,1.229
Fluid Abstracts: Civil Engineering,http://www.journals.elsevier.com/fluid-abstracts-civil-engineering/,0.0,0.0,0.0,0.0
Fluid Abstracts: Process Engineering,http://www.journals.elsevier.com/fluid-abstracts-process-engineering/,0.0,0.0,0.0,0.0
Fluid Phase Equilibria,http://www.journals.elsevier.com/fluid-phase-equilibria/,1.224,0.929,2.200,2.334
FMC - Formación Médica Continuada en Atención Primaria,http://www.journals.elsevier.com/fmc-formacion-medica-continuada-en-atencion-primaria/,0.0,0.0,0.0,0.0
Focus on Catalysts,http://www.journals.elsevier.com/focus-on-catalysts/,0.0,0.0,0.0,0.0
Focus on Pigments,http://www.journals.elsevier.com/focus-on-pigments/,0.0,0.0,0.0,0.0
Focus on Powder Coatings,http://www.journals.elsevier.com/focus-on-powder-coatings/,0.0,0.0,0.0,0.0
Focus on Surfactants,http://www.journals.elsevier.com/focus-on-surfactants/,0.0,0.0,0.0,0.0
Food and Bioproducts Processing,http://www.journals.elsevier.com/food-and-bioproducts-processing/,2.043,1.139,2.474,2.824
Food and Chemical Toxicology,http://www.journals.elsevier.com/food-and-chemical-toxicology/,1.286,0.920,2.895,3.282
Food and Waterborne Parasitology,http://www.journals.elsevier.com/food-and-waterborne-parasitology/,0.0,0.0,0.0,0.0
Food Bioscience,http://www.journals.elsevier.com/food-bioscience/,0.0,0.0,0.0,0.0
Food Chemistry,http://www.journals.elsevier.com/food-chemistry/,1.930,1.420,3.391,3.901
Food Control,http://www.journals.elsevier.com/food-control/,1.652,1.256,2.806,3.085
Food Hydrocolloids,http://www.journals.elsevier.com/food-hydrocolloids/,2.450,2.004,4.090,4.637
Food Microbiology,http://www.journals.elsevier.com/food-microbiology/,1.687,1.389,3.331,3.675
Food Packaging and Shelf Life,http://www.journals.elsevier.com/food-packaging-and-shelf-life/,0.0,0.0,0.0,0.0
Food Policy,http://www.journals.elsevier.com/food-policy/,1.681,1.192,1.799,2.815
Food Quality and Preference,http://www.journals.elsevier.com/food-quality-and-preference/,1.598,0.843,2.779,3.197
Food Research International,http://www.journals.elsevier.com/food-research-international/,1.663,1.345,2.818,3.440
Food Science and Human Wellness,http://www.journals.elsevier.com/food-science-and-human-wellness/,0.0,0.0,0.0,0.0
Food Science Package,/journals/food-science-package/fs00-0174,0.0,0.0,0.0,0.0
Food Structure,http://www.journals.elsevier.com/food-structure/,0.0,0.0,0.0,0.0
Food Webs,http://www.journals.elsevier.com/food-webs/,0.0,0.0,0.0,0.0
Foot and Ankle Clinics,/journals/foot-and-ankle-clinics/1083-7515,0.0,0.0,0.0,0.0
Foot and Ankle Surgery,http://www.journals.elsevier.com/foot-and-ankle-surgery/,0.0,0.0,0.0,0.0
Fooyin Journal of Health Sciences,/journals/fooyin-journal-of-health-sciences/1877-8607,0.0,0.0,0.0,0.0
Forensic Science Abstracts (Section 49 EMBASE),/journals/forensic-science-abstracts-section-49-embase/0303-8459,0.0,0.0,0.0,0.0
Forensic Science International,http://www.journals.elsevier.com/forensic-science-international/,1.342,0.991,2.140,2.345
Forensic Science International: Genetics,http://www.journals.elsevier.com/forensic-science-international-genetics/,1.760,1.042,4.604,4.028
Forensic Science International: Genetics Supplement Series,http://www.journals.elsevier.com/forensic-science-international-genetics-supplement-series/,0.0,0.0,0.0,0.0
Forensic Science International Supplement Series,http://www.journals.elsevier.com/forensic-science-international-supplement-series/,0.0,0.0,0.0,0.0
Forest Ecology and Management,http://www.journals.elsevier.com/forest-ecology-and-management/,1.396,1.325,2.660,3.153
Forest Ecology and Management with Forest Policy and Economics (Combined Subscription),/journals/forest-ecology-and-management-with-forest-policy-and-economics-combined-subscription/fs00-5554,0.0,0.0,0.0,0.0
Forest Policy and Economics,http://www.journals.elsevier.com/forest-policy-and-economics/,1.347,1.204,1.856,2.129
Formosan Journal of Surgery,http://www.journals.elsevier.com/formosan-journal-of-surgery/,0.0,0.0,0.0,0.0
Free Radical Biology & Medicine,http://www.journals.elsevier.com/free-radical-biology-and-medicine/,1.562,2.095,5.736,5.855
Frontiers in Neuroendocrinology,http://www.journals.elsevier.com/frontiers-in-neuroendocrinology/,1.964,2.603,7.037,9.656
Frontiers of Architectural Research,http://www.journals.elsevier.com/frontiers-of-architectural-research/,0.0,0.0,0.0,0.0
Fuß & Sprunggelenk,http://www.journals.elsevier.com/fu-and-sprunggelenk/,0.0,0.0,0.0,0.0
Fuel,http://www.journals.elsevier.com/fuel/,2.195,1.568,3.520,4.091
Fuel and Energy Abstracts,http://www.journals.elsevier.com/fuel-and-energy-abstracts/,0.0,0.0,0.0,0.0
Fuel Cells Bulletin,http://www.journals.elsevier.com/fuel-cells-bulletin/,0.0,0.0,0.0,0.0
Fuel Processing Technology,http://www.journals.elsevier.com/fuel-processing-technology/,2.119,1.571,3.352,4.031
Fungal Biology,http://www.journals.elsevier.com/fungal-biology/,1.009,0.930,2.342,2.405
Fungal Biology Reviews,http://www.journals.elsevier.com/fungal-biology-reviews/,0.0,0.0,0.0,0.0
Fungal Ecology,http://www.journals.elsevier.com/fungal-ecology/,1.004,1.072,2.929,2.912
Fungal Genetics and Biology,http://www.journals.elsevier.com/fungal-genetics-and-biology/,0.903,1.082,2.587,3.227
Fusion Engineering and Design,http://www.journals.elsevier.com/fusion-engineering-and-design/,1.191,0.672,1.152,1.168
Future Business Journal,http://www.journals.elsevier.com/future-business-journal/,0.0,0.0,0.0,0.0
Future Dental Journal,http://www.journals.elsevier.com/future-dental-journal/,0.0,0.0,0.0,0.0
Future Generation Computer Systems,http://www.journals.elsevier.com/future-generation-computer-systems/,3.278,2.146,2.786,2.464
Future Journal of Pharmaceutical Sciences,http://www.journals.elsevier.com/future-journal-of-pharmaceutical-sciences/,0.0,0.0,0.0,0.0
Futures,http://www.journals.elsevier.com/futures/,1.034,0.697,1.012,1.290
Fuzzy Information and Engineering,http://www.journals.elsevier.com/fuzzy-information-and-engineering/,0.0,0.0,0.0,0.0
Fuzzy Sets and Systems,http://www.journals.elsevier.com/fuzzy-sets-and-systems/,2.225,1.891,1.986,2.496
Gaceta Médica de Bilbao,/journals/gaceta-medica-de-bilbao/0304-4858,0.0,0.0,0.0,0.0
Gaceta Mexicana de Oncología,http://www.journals.elsevier.com/gaceta-mexicana-de-oncologia/,0.0,0.0,0.0,0.0
Gaceta Sanitaria,http://www.journals.elsevier.com/gaceta-sanitaria/,0.685,0.385,1.186,1.248
Gait & Posture,http://www.journals.elsevier.com/gait-and-posture/,1.746,1.233,2.752,3.185
Games and Economic Behavior,http://www.journals.elsevier.com/games-and-economic-behavior/,1.406,2.356,1.067,1.459
Gastroenterología y Hepatología,http://www.journals.elsevier.com/gastroenterologia-y-hepatologia/,0.264,0.226,0.838,0.664
Gastroenterología y Hepatología Continuada,/journals/gastroenterologia-y-hepatologia-continuada/1578-1550,0.0,0.0,0.0,0.0
Gastroentérologie Clinique et Biologique,/journals/gastroenterologie-clinique-et-biologique/0399-8320,0.0,0.0,0.0,0.0
Gastroenterology,http://www.journals.elsevier.com/gastroenterology/,3.007,5.616,16.716,13.811
Gastroenterology Clinics of North America,/journals/gastroenterology-clinics-of-north-america/0889-8553,0.0,0.0,0.0,0.0
Gastroenterology (Section 48 EMBASE),/journals/gastroenterology-section-48-embase/0031-3580,0.0,0.0,0.0,0.0
Gastrointestinal Endoscopy,http://www.journals.elsevier.com/gastrointestinal-endoscopy/,1.738,1.781,5.369,5.225
Gastrointestinal Endoscopy Clinics of North America,/journals/gastrointestinal-endoscopy-clinics-of-north-america/1052-5157,0.0,0.0,0.0,0.0
Gastrointestinal Intervention,http://www.journals.elsevier.com/gastrointestinal-intervention/,0.0,0.0,0.0,0.0
GE Jornal Português de Gastrenterologia,http://www.journals.elsevier.com/ge-jornal-portugues-de-gastrenterologia/,0.0,0.0,0.0,0.0
Gender Medicine,http://www.journals.elsevier.com/gender-medicine/,0.0,0.0,0.0,0.0
Gene,http://www.journals.elsevier.com/gene/,0.736,0.860,2.138,2.185
Gene Expression Patterns,http://www.journals.elsevier.com/gene-expression-patterns/,0.455,0.979,1.380,1.872
General and Comparative Endocrinology,http://www.journals.elsevier.com/general-and-comparative-endocrinology/,0.902,0.954,2.470,2.840
General Hospital Psychiatry,http://www.journals.elsevier.com/general-hospital-psychiatry/,1.005,0.783,2.606,3.116
General Pathology and Pathological Anatomy (Section 5 EMBASE),/journals/general-pathology-and-pathological-anatomy-section-5-embase/0014-4096,0.0,0.0,0.0,0.0
Gene Reports,/journals/gene-reports/2452-0144,0.0,0.0,0.0,0.0
Genes and Diseases,http://www.journals.elsevier.com/genes-and-diseases/,0.0,0.0,0.0,0.0
"Genomic Medicine, Biomarkers and Health Sciences",/journals/genomic-medicine-biomarkers-and-health-sciences/2211-4254,0.0,0.0,0.0,0.0
Genomics,http://www.journals.elsevier.com/genomics/,0.827,1.457,2.284,2.847
Genomics Data,http://www.journals.elsevier.com/genomics-data/,0.0,0.0,0.0,0.0
"Genomics, Proteomics & Bioinformatics",http://www.journals.elsevier.com/genomics-proteomics-and-bioinformatics/,0.0,0.0,0.0,0.0
Geobios,http://www.journals.elsevier.com/geobios/,0.726,0.598,1.243,1.337
Geochimica et Cosmochimica Acta,http://www.journals.elsevier.com/geochimica-et-cosmochimica-acta/,1.643,2.284,4.331,4.933
Geoderma,http://www.journals.elsevier.com/geoderma/,1.721,1.228,2.772,3.524
Geoderma Regional,http://www.journals.elsevier.com/geoderma-regional/,0.0,0.0,0.0,0.0
Geofísica Internacional,http://www.journals.elsevier.com/geofisica-internacional/,0.382,0.323,0.411,0.482
Geoforum,http://www.journals.elsevier.com/geoforum/,1.399,1.379,1.759,2.488
Geo Full Set Series,/journals/geo-full-set-series/fs00-2235,0.0,0.0,0.0,0.0
Geographical Abstracts: Human Geography,http://www.journals.elsevier.com/geographical-abstracts-human-geography/,0.0,0.0,0.0,0.0
Geographical Abstracts: Physical Geography,http://www.journals.elsevier.com/geographical-abstracts-physical-geography/,0.0,0.0,0.0,0.0
Geography and Natural Resources,/journals/geography-and-natural-resources/1875-3728,0.0,0.0,0.0,0.0
Geological Abstracts,http://www.journals.elsevier.com/geological-abstracts/,0.0,0.0,0.0,0.0
Geomechanics Abstracts,http://www.journals.elsevier.com/geomechanics-abstracts/,0.0,0.0,0.0,0.0
Geomechanics for Energy and the Environment,http://www.journals.elsevier.com/geomechanics-for-energy-and-the-environment/,0.0,0.0,0.0,0.0
Geomorphology,http://www.journals.elsevier.com/geomorphology/,1.523,1.233,2.785,3.256
GeoResJ,http://www.journals.elsevier.com/georesj/,0.0,0.0,0.0,0.0
Geoscience Frontiers,http://www.journals.elsevier.com/geoscience-frontiers/,0.0,0.0,0.0,0.0
Geoscience Package,/journals/geoscience-package/fs00-1014,0.0,0.0,0.0,0.0
Geotextiles and Geomembranes,http://www.journals.elsevier.com/geotextiles-and-geomembranes/,0.0,0.0,0.0,0.0
Geothermics,http://www.journals.elsevier.com/geothermics/,2.688,1.669,2.949,3.479
GE Portuguese Journal of Gastroenterology,http://www.journals.elsevier.com/ge-portuguese-journal-of-gastroenterology/,0.0,0.0,0.0,0.0
Geriatric Mental Health Care,http://www.journals.elsevier.com/geriatric-mental-health-care/,0.0,0.0,0.0,0.0
Geriatric Nursing,http://www.journals.elsevier.com/geriatric-nursing/,0.453,0.276,1.200,1.352
Gerontology and Geriatrics (Section 20 EMBASE),/journals/gerontology-and-geriatrics-section-20-embase/0014-424x,0.0,0.0,0.0,0.0
GI and Hepatology News,http://www.journals.elsevier.com/gi-and-hepatology-news/,0.0,0.0,0.0,0.0
Giornale Italiano di Endodonzia,http://www.journals.elsevier.com/giornale-italiano-di-endodonzia/,0.0,0.0,0.0,0.0
Global and Planetary Change,http://www.journals.elsevier.com/global-and-planetary-change/,1.452,1.572,2.766,3.612
Global Ecology and Conservation,http://www.journals.elsevier.com/global-ecology-and-conservation/,0.0,0.0,0.0,0.0
Global Economics and Management Review,http://www.journals.elsevier.com/global-economics-and-management-review/,0.0,0.0,0.0,0.0
Global Environmental Change,http://www.journals.elsevier.com/global-environmental-change/,2.665,3.006,5.089,7.784
Global Finance Journal,http://www.journals.elsevier.com/global-finance-journal/,0.0,0.0,0.0,0.0
Global Food Security,http://www.journals.elsevier.com/global-food-security/,0.0,0.0,0.0,0.0
